Name,Team,Sport,num_medals
"Julien Louis Brul",France,Archery,5
"Antje Buschschulte (-Meeuw)",Germany,Swimming,5
"David Cal Figueroa",Spain,Canoeing,5
"Cate Natalie Campbell",Australia,Swimming,5
"Gustaf Eric Carlberg",Sweden,Shooting,5
"Henri Chammartin",Switzerland,Equestrianism,5
"Andrew Murray "Boy"" Charlton"",Australia,Swimming,5
"Chen Ruolin",China,Diving,5
"Stephen Edward "Steve"" Clark"","United States",Swimming,5
"Giancarlo Cornaggia-Medici Peterbelli",Italy,Fencing,5
"Alicia Jayne Coutts",Australia,Swimming,5
"Ian Lowell Crocker","United States",Swimming,5
"Joshua Clark "Josh"" Davis"","United States",Swimming,5
"Anastasiya Semyonovna Davydova",Russia,"Synchronized Swimming",5
"Adrianus Egbert Willem "Arie"" de Jong"",Netherlands,Fencing,5
"Manlio Di Rosa",Italy,Fencing,5
"Klaus Dibiasi",Italy,Diving,5
"Ines Diers (-Noack)","East Germany",Swimming,5
"Andreas Dittmer",Germany,Canoeing,5
"Eskild Balschmidt Ebbesen",Denmark,Rowing,5
"Philip Aron "Phil"" Edwards"",Canada,Athletics,5
"Teresa Edwards","United States",Basketball,5
"Brittany Joyce Elmslie",Australia,Swimming,5
"Axel Mauritz Eriksson",Sweden,Shooting,5
"Janet Beth Evans","United States",Swimming,5
"Meyer Prinstein","United States",Athletics,5
"Halyna Mykolavna Prozumenshchykova-Stepanova (-Ivannykova)","Soviet Union",Swimming,5
"Oreste Puliti",Italy,Fencing,5
"Qin Kai",China,Diving,5
"Mary Lou Retton (-Kelley)","United States",Gymnastics,5
"Michael Reusch",Switzerland,Gymnastics,5
"Sanya Richards-Ross","United States",Athletics,5
"Aleksandr Anatolyevich Romankov","Soviet Union",Fencing,5
"Svetlana Alekseyevna Romashina",Russia,"Synchronized Swimming",5
"Antonio Rossi",Italy,Canoeing,5
"Aino-Kaisa Saarinen",Finland,"Cross Country Skiing",5
"Martina Sblkov","Czech Republic","Speed Skating",5
"Evi Sachenbacher-Stehle",Germany,"Cross Country Skiing",5
"Robert Scheidt",Brazil,Sailing,5
"Melanie Rene "Mel"" Schlanger (-Wright)"",Australia,Swimming,5
"Verena "Vreni"" Schneider"",Switzerland,"Alpine Skiing",5
"Emily Jane Seebohm",Australia,Swimming,5
"Katja Seizinger (-Weber)",Germany,"Alpine Skiing",5
"Melvin Winfield "Mel"" Sheppard"","United States",Athletics,5
"Bente Skari-Martinsen",Norway,"Cross Country Skiing",5
"Silvio Fauner",Italy,"Cross Country Skiing",5
"Dennis Fenton","United States",Shooting,5
"Ian Gordon Ferguson","New Zealand",Canoeing,5
"Jens Fiedler",Germany,Cycling,5
"Gustav Fischer",Switzerland,Equestrianism,5
"Morris "Bud"" Fisher"","United States",Shooting,5
"Laura lodie Flessel-Colovic",France,Fencing,5
"Ramn Fonst Segundo",Cuba,Fencing,5
"Arianna Fontana",Italy,"Short Track Speed Skating",5
"Anna Christine "Anni"" Friesinger-Postma"",Germany,"Speed Skating",5
"Fu Mingxia",China,Diving,5
"Marc Gagnon",Canada,"Short Track Speed Skating",5
"Justin Alexander Gatlin","United States",Athletics,5
"Elena Georgescu-Nedelcu",Romania,Rowing,5
"Gina Elena Gogean (-Groza)",Romania,Gymnastics,5
"Galina Yevgenyevna Gorokhova","Soviet Union",Fencing,5
"Shane Elizabeth Gould (-Innis, -Nelms)",Australia,Swimming,5
"Torben Schmidt Grael",Brazil,Sailing,5
"Katherine Jane Grainger","Great Britain",Rowing,5
"Delorez Florence Griffith Joyner","United States",Athletics,5
"Yevgeny Romanovich Grishin","Soviet Union","Speed Skating",5
"Mariya Zdravkova Grozdeva (Grigorova-)",Bulgaria,Shooting,5
"Harald Grnningen",Norway,"Cross Country Skiing",5
"Erzsbet Gulys-Kteles",Hungary,Gymnastics,5
"Koji Gushiken",Japan,Gymnastics,5
"Dezs Gyarmati",Hungary,"Water Polo",5
"Chad Paul Hedrick","United States","Speed Skating",5
"Jayna Hefford",Canada,"Ice Hockey",5
"Anton Heida","United States",Gymnastics,5
"Eric Arthur Heiden","United States","Speed Skating",5
"Jan Margo Henne (-Hawkins)","United States",Swimming,5
"Anders Sren Holmertz (Johansson-)",Sweden,Swimming,5
"Huang Xuechen",China,"Synchronized Swimming",5
"Veikko Aarne Aleks Huhtanen",Finland,Gymnastics,5
"Marcus Latimer Hurley","United States",Cycling,5
"Nataliya Sergeyevna Ishchenko",Russia,"Synchronized Swimming",5
"John Arthur Jarvis","Great Britain",Swimming,5
"Jeon I-Gyeong","South Korea","Short Track Speed Skating",5
"Knut Johannesen",Norway,"Speed Skating",5
"Carl Hugo Johansson",Sweden,Shooting,5
"Andr Ren Jousseaum",France,Equestrianism,5
"Duke Paoa Kahino Makoe Hulikohoa Kahanamoku","United States",Swimming,5
"Marina Charlotte Kalla",Sweden,"Cross Country Skiing",5
"Klete D. Keller","United States",Swimming,5
"Anni Helena Kivioja-Takalo",Finland,"Cross Country Skiing",5
"Lasse Kjus (Kristoffersen-)",Norway,"Alpine Skiing",5
"Viktor Yakovlevich Klimenko","Soviet Union",Gymnastics,5
"Yana Oleksandrivna Klochkova",Ukraine,Swimming,5
"Alevtina Pavlovna Kolchina (Leontyeva-)","Soviet Union","Cross Country Skiing",5
"Johan Pietari "Hannes"" Kolehmainen"",Finland,Athletics,5
"Johann Olav Koss",Norway,"Speed Skating",5
"Justyna Kowalczyk",Poland,"Cross Country Skiing",5
"Christine Stckelberger",Switzerland,Equestrianism,5
"Viorica Susanu",Romania,Rowing,5
"Emil Hegle Svendsen",Norway,Biathlon,5
"Ecaterina (Katalin-) Szabo (-Tamas)",Romania,Gymnastics,5
"Miya Tachibana",Japan,"Synchronized Swimming",5
"Miho Takeda",Japan,"Synchronized Swimming",5
"Ryoko Tamura-Tani",Japan,Judo,5
"Walter Beardsley Tewksbury","United States",Athletics,5
"Lesley Allison Thompson-Willie",Canada,Rowing,5
"Earl Foster Thomson","United States",Equestrianism,5
"Aleksandr Ivanovich Tikhonov","Soviet Union",Biathlon,5
"Alberto Tomba",Italy,"Alpine Skiing",5
"Franois-Louis Tremblay",Canada,"Short Track Speed Skating",5
"Pl Bjarne Tyldum",Norway,"Cross Country Skiing",5
"Ladislav Vcha",Czechoslovakia,Gymnastics,5
"Yelena Valeryevna Vlbe (Trubitsyna-)","Unified Team","Cross Country Skiing",5
"Albertson Van Zo Post","United States",Fencing,5
"Samppa Kalevi Lajunen",Finland,"Nordic Combined",5
"Jean-Franois Lamour",France,Fencing,5
"Per Fredric Landelius",Sweden,Shooting,5
"Niels Hansen Ditlev Larsen",Denmark,Shooting,5
"Tatyana Romanovna Lebedeva",Russia,Athletics,5
"Lee Ho-Seok","South Korea","Short Track Speed Skating",5
"Li Jiajun",China,"Short Track Speed Skating",5
"Li Xiaopeng",China,Gymnastics,5
"James Davies "Jim"" Lightbody"","United States",Athletics,5
"Alexandre Auguste Lippmann",France,Fencing,5
"Viktor Nikitovich Lisitsky","Soviet Union",Gymnastics,5
"Anastasiya Valeryevna "Nastia"" Liukin"","United States",Gymnastics,5
"Lou Yun",China,Gymnastics,5
"Gregory Efthimios "Greg"" Louganis"","United States",Diving,5
"Frank Luck",Germany,Biathlon,5
"Christopher Paul MacDonald","New Zealand",Canoeing,5
"Lars Jrgen Madsen",Denmark,Shooting,5
"Michal Martikn",Slovakia,Canoeing,5
"Carlo Massullo",Italy,"Modern Pentathlon",5
"Bradley John "Brad"" McGee"",Australia,Cycling,5
"Mary Terstegge Meagher (-Plant)","United States",Swimming,5
"Franco Menichelli",Italy,Gymnastics,5
"William G. Merz","United States",Gymnastics,5
"Juha Iisakki Mieto",Finland,"Cross Country Skiing",5
"Andrey Ivanovich Krylov","Soviet Union",Swimming,4
"Nataliya Aleksandrovna Kuchinskaya (-Kotlyar)","Soviet Union",Gymnastics,4
"Georgijs Kuikovs","Soviet Union",Swimming,4
"Kevin Kuske",Germany-1,Bobsleigh,4
"Andr Labatut",France,Fencing,4
"Andr Lange",Germany-1,Bobsleigh,4
"Eirik Vers Larsen",Norway,Canoeing,4
"Tamara Vasilyevna Lazakovich","Soviet Union",Gymnastics,4
"Pedro Luis Lazo Iglesias",Cuba,Baseball,4
"Le Jingyi",China,Swimming,4
"Chad Guy Bertrand le Clos","South Africa",Swimming,4
"Jens Lehmann",Germany,Cycling,4
"Jere Kalervo Lehtinen",Finland,"Ice Hockey",4
"Eino Aukusti Leino",Finland,Wrestling,4
"Lisa Deshawn Leslie (-Lockwood)","United States",Basketball,4
"William David Franz "Bill"" Leushner"","United States",Shooting,4
"Amaury Raymond Leveaux",France,Swimming,4
"Steven Earl "Steve"" Lewis"","United States",Athletics,4
"Li Xiaoxia",China,"Table Tennis",4
"Lin Li",China,Swimming,4
"Matija Ljubek",Yugoslavia,Canoeing,4
"Joan Llaneras Rossell",Spain,Cycling,4
"Jeannie Longo-Ciprelli",France,Cycling,4
"Fred Brre Lundberg",Norway,"Nordic Combined",4
"Tamara Alekseyevna Lyukhina-Zamotaylova","Soviet Union",Gymnastics,4
"Valery Viktorovich Lyukin","Soviet Union",Gymnastics,4
"Elizabeth "Beezie"" Madden (Patton-)"","United States",Equestrianism,4
"Michele Maffei",Italy,Fencing,4
"Jean-Claude Magnan",France,Fencing,4
"Fred Anton Maier",Norway,"Speed Skating",4
"Hermann Maier",Austria,"Alpine Skiing",4
"Vadim Gennadyevich Makhnyov",Belarus,Canoeing,4
"Julia Marie Mancuso (-Fish)","United States","Alpine Skiing",4
"Valentyn Hryhorovych Mankin","Soviet Union",Sailing,4
"Simone Ashley Manuel","United States",Swimming,4
"Marco Marin",Italy,Fencing,4
"Marjo Tuulevi Matikainen (-Kallstrm)",Finland,"Cross Country Skiing",4
"Takeshi Matsuda",Japan,Swimming,4
